"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","US dollar",
"202505","502","United States","2909","Others, etheralcohols, etherphenols, etheralcoholphenols, 
alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides (whether or 
not chemically defined), and their halogenated, sulphonated, 
nitrated or nitrosated derivatives.","3,504,311",
"202505","502","United States","2910","Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a 
threemembered ring, and their halogenated, sulphonated, 
nitrated or nitrosated derivatives.","1,841,656",
"202505","502","United States","2911","Acetals and hemiacetals, whether or not with other oxygen 
function, and their halogenated, sulphonated, nitrated or 
nitrosated derivatives.","190,900",
"202505","502","United States","2912","Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde.","3,284,362",
"202505","502","United States","2913","Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12.","4,767",
"202505","502","United States","2914","Ketones and quinones, whether or not with other oxygen 
function, and their halogenated, sulphonated, nitrated or 
nitrosated derivatives.","24,473,634",
"202505","502","United States","2915","Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.","2,167,071",
"202505","502","United States","2916","Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic 
acids, their anhydrides, halides, peroxides and peroxyacids; their 
halogenated, sulphonated, nitrated or nitrosated derivatives.","7,752,114",
"202505","502","United States","2917","Polycarboxylic acids, their anhydrides, halides, peroxides and 
peroxyacids; their halogenated, sulphonated, nitrated or 
nitrosated derivatives.","13,767,068",
"202505","502","United States","2918","arboxylic acids with additional oxygen function and their 
anhydrides, halides, peroxides and peroxyacids; their 
halogenated, sulphonated, nitrated or nitrosated derivatives.","10,709,043",
"202505","502","United States","2919","Phosphoric esters and their salts, including lactophosphates; 
their halogenated, sulphonated, nitrated or nitrosated 
derivatives.","1,591,836",
"202505","502","United States","2920","Esters of other inorganic acids of nonmetals (excluding esters 
of hydrogen halides) and their salts; their halogenated, 
sulphonated, nitrated or nitrosated derivatives.","2,858,615",
"202505","502","United States","2921","Amine-function compounds.","6,726,383",
"202505","502","United States","2922","Oxygenfunction aminocompounds.","31,698,482",
"202505","502","United States","2923","uaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined.","6,730,907",
"202505","502","United States","2924","arboxyamidefunction compounds; amidefunction compounds of carbonic acid.","18,271,200",
"202505","502","United States","2925","arboxyimidefunction compounds (including saccharin and its salts) and iminefunction compounds.","10,265,452",
"202505","502","United States","2926","Nitrilefunction compounds.","6,007,011",
"202505","502","United States","2927","Diazo, azo or azoxycompounds.","482,337",
"202505","502","United States","2928","Organic derivatives of hydrazine or of hydroxylamine.","1,583,577",
"202505","502","United States","2929","Compounds with other nitrogen function.","1,518,088",
"202505","502","United States","2930","Organo-sulphur compounds.","13,399,744",
"202505","502","United States","2931","ther organoinorganic compounds.","35,717,649",
"202505","502","United States","2932","Heterocyclic compounds with oxygen heteroatom(s) only.","22,994,708",
"202505","502","United States","2933","Heterocyclic compounds with nitrogen heteroatom(s) only.","69,094,500",
"202505","502","United States","2934","ucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds.","39,765,890",
"202505","502","United States","2935","Sulphonamides.","12,521,139",
"202505","502","United States","2936","rovitamins and vitamins, natural or reproduced by synthesis 
(including natural concentrates), derivatives thereof used 
primarily as vitamins, and intermixtures of the foregoing, 
whether or not in any solvent.","39,122,750",
"202505","502","United States","2937","ormones, prostaglandins, thromboxanes and leukotrienes, 
natural or reproduced by synthesis; derivatives and structural 
analogues thereof, including chain modified polypeptides, used 
primarily as hormones.","20,522,620",
"202505","502","United States","2938","Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.","11,526,261",
